iter	RMSE
0	77461.24246
1	75493.11995
2	73644.80368
3	71773.31448
4	69885.64786
5	68145.93462
6	66429.3136
7	64879.78228
8	63453.40024
9	62015.48807
10	60538.73162
11	59268.56166
12	57847.95344
13	56508.45051
14	55243.44132
15	54003.60122
16	52803.7822
17	51722.14252
18	50705.00601
19	49628.10311
20	48609.99749
21	47655.59163
22	46788.56808
23	45980.7476
24	45066.7207
25	44337.6934
26	43508.43949
27	42734.53187
28	41934.37592
29	41221.85673
30	40461.0041
31	39805.49852
32	39203.56139
33	38555.969
34	37920.9689
35	37357.73657
36	36847.40488
37	36300.19129
38	35845.2932
39	35355.33894
40	34839.89033
41	34407.15877
42	33924.35294
43	33486.61763
44	33105.67276
45	32693.53836
46	32281.2873
47	31939.7641
48	31626.54995
49	31319.87681
50	30921.33362
51	30610.30105
52	30281.61715
53	29994.69629
54	29661.64143
55	29288.7533
56	28977.58052
57	28700.32611
58	28370.57278
59	28089.44251
60	27837.38299
61	27535.63966
62	27306.92016
63	27087.99749
64	26900.95494
65	26696.28905
66	26501.93973
67	26295.80556
68	26147.88864
69	25947.59196
70	25802.65254
71	25571.54902
72	25367.80396
73	25218.88068
74	25080.70837
75	24918.16482
76	24748.53912
77	24613.26519
78	24433.18782
79	24300.60765
80	24143.53852
81	23988.9314
82	23837.9206
83	23661.91696
84	23523.67213
85	23425.87116
86	23286.89211
87	23192.67595
88	23117.24131
89	23028.24297
90	22912.69287
91	22781.89403
92	22686.03421
93	22562.01993
94	22463.40131
95	22379.70383
96	22289.69041
97	22176.70055
98	22040.15952
99	21968.23869
100	21874.23906
101	21795.55229
102	21684.81518
103	21600.19701
104	21528.02848
105	21420.05859
106	21318.46286
107	21265.641
108	21169.40344
109	21108.74794
110	21045.07478
111	20951.73055
112	20870.78262
113	20819.10362
114	20720.62029
115	20641.95912
116	20538.5406
117	20438.7717
118	20394.16052
119	20325.37003
120	20262.24752
121	20219.76574
122	20147.07906
123	20089.01157
124	20020.05507
125	19969.66593
126	19912.73
127	19844.32547
128	19807.00481
129	19731.36067
130	19677.2406
131	19647.24634
132	19590.50924
133	19559.47284
134	19505.6549
135	19449.88236
136	19406.46343
137	19366.9013
138	19335.68078
139	19290.19127
140	19230.05431
141	19215.50056
142	19176.01552
143	19118.88387
144	19074.48279
145	19022.35883
146	18969.7302
147	18907.46678
148	18872.74668
149	18805.16067
150	18746.26686
151	18719.68035
152	18657.77444
153	18577.43595
154	18521.48695
155	18471.42279
156	18439.94881
157	18420.41382
158	18371.00388
159	18350.27513
160	18300.94907
161	18228.84712
162	18211.02367
163	18161.0044
164	18080.18153
165	18035.03725
166	18006.14074
167	17955.73147
168	17885.27111
169	17870.10048
170	17837.54811
171	17812.5577
172	17769.30162
173	17733.63662
174	17681.60551
175	17664.61672
176	17627.2706
177	17555.77628
178	17529.51668
179	17495.87733
180	17466.37845
181	17442.18498
182	17412.78754
183	17362.86926
184	17325.41417
185	17285.23222
186	17261.8529
187	17235.16521
188	17205.21427
189	17136.02873
190	17111.22965
191	17081.28405
192	17029.30193
193	17012.57925
194	16999.40176
195	16966.56211
196	16946.42344
197	16921.73463
198	16900.54682
199	16878.63351
200	16846.68133
201	16811.19129
202	16779.45407
203	16760.75644
204	16706.65541
205	16660.71236
206	16634.30359
207	16610.20486
208	16562.13426
209	16505.97869
210	16476.68269
211	16463.11298
212	16420.87421
213	16375.77768
214	16312.10465
215	16276.88921
216	16232.05041
217	16190.82865
218	16153.48057
219	16122.03808
220	16095.89711
221	16044.37184
222	16005.12933
223	15987.11635
224	15965.55995
225	15932.39276
226	15915.27363
227	15874.55911
228	15825.96704
229	15790.07665
230	15769.42646
231	15723.92913
232	15680.14388
233	15671.05459
234	15655.60455
235	15619.51385
236	15570.24346
237	15533.17354
238	15485.87122
239	15447.43646
240	15417.72716
241	15379.33269
242	15364.27303
