iter	Passed	Remaining
0	3	3133
1	5	2711
2	7	2601
3	10	2526
4	12	2458
5	15	2499
6	17	2547
7	20	2518
8	22	2480
9	24	2457
10	27	2434
11	29	2435
12	32	2434
13	34	2418
14	36	2412
15	39	2400
16	41	2386
17	43	2374
18	47	2445
19	50	2460
20	52	2468
21	55	2474
22	57	2461
23	60	2473
24	63	2494
25	66	2488
26	68	2478
27	71	2465
28	73	2470
29	76	2465
30	79	2478
31	81	2479
32	84	2475
33	86	2468
34	89	2470
35	93	2502
36	96	2503
37	98	2494
38	100	2485
39	103	2479
40	105	2468
41	108	2471
42	111	2482
43	114	2482
44	116	2475
45	119	2470
46	121	2467
47	125	2480
48	127	2479
49	130	2477
50	132	2473
51	135	2471
52	137	2462
53	140	2457
54	142	2454
55	145	2444
56	147	2441
57	149	2432
58	152	2427
59	154	2419
60	157	2418
61	159	2413
62	161	2408
63	164	2400
64	166	2394
65	168	2387
66	170	2379
67	173	2376
68	175	2370
69	177	2364
70	180	2358
71	182	2350
72	184	2343
73	187	2342
74	189	2335
75	191	2332
76	194	2326
77	196	2320
78	198	2313
79	200	2307
80	202	2303
81	205	2298
82	207	2297
83	210	2291
84	212	2286
85	214	2280
86	216	2275
87	219	2273
88	221	2269
89	224	2267
90	226	2260
91	228	2254
92	230	2248
93	232	2243
94	235	2240
95	237	2237
96	239	2231
97	241	2224
98	244	2221
99	246	2215
100	248	2209
101	250	2208
102	253	2203
103	255	2197
104	257	2193
105	259	2189
106	261	2185
107	264	2181
108	266	2179
109	268	2176
110	271	2172
111	273	2167
112	275	2164
113	277	2158
114	280	2156
115	282	2152
116	284	2148
117	286	2144
118	289	2140
119	291	2137
120	293	2132
121	296	2131
122	298	2131
123	301	2132
124	304	2131
125	306	2127
126	309	2124
127	311	2124
128	314	2124
129	317	2124
130	320	2122
131	323	2129
132	326	2126
133	328	2124
134	331	2122
135	333	2121
136	336	2118
137	338	2117
138	341	2114
139	344	2113
140	346	2112
141	349	2110
142	351	2107
143	354	2105
144	356	2103
145	369	2158
146	371	2156
147	373	2152
148	376	2149
149	378	2147
150	381	2145
151	385	2150
152	388	2148
153	390	2146
154	393	2144
155	396	2142
156	398	2140
157	401	2137
158	403	2133
159	405	2131
160	409	2132
161	411	2130
162	414	2129
163	417	2128
164	419	2124
165	421	2119
166	424	2115
167	426	2111
168	429	2110
169	431	2105
170	433	2102
171	435	2097
172	438	2094
173	440	2091
174	442	2088
175	445	2084
176	447	2080
177	449	2076
178	452	2073
179	454	2070
180	456	2067
181	460	2067
182	462	2065
183	465	2063
184	467	2059
185	469	2056
186	472	2054
187	475	2053
188	477	2049
189	480	2046
190	482	2042
191	484	2038
192	487	2037
193	490	2038
194	493	2037
195	495	2033
196	497	2029
197	500	2026
198	503	2025
199	505	2021
200	507	2018
201	510	2015
202	512	2011
203	514	2007
204	516	2004
205	519	2002
206	522	2001
207	524	1996
208	526	1992
209	528	1988
210	530	1983
211	533	1981
212	535	1978
213	537	1975
214	540	1972
215	542	1967
216	544	1963
217	546	1959
218	548	1954
219	550	1950
220	552	1946
221	555	1946
222	557	1943
223	559	1939
224	561	1935
225	563	1930
226	566	1928
227	568	1925
228	570	1922
229	572	1917
230	574	1913
231	577	1910
232	579	1907
233	581	1904
234	584	1902
235	586	1899
236	588	1895
237	590	1891
238	593	1888
239	595	1884
240	597	1881
241	599	1878
242	601	1874
243	603	1870
244	605	1866
245	607	1862
246	609	1858
247	611	1855
248	614	1853
249	617	1851
250	619	1848
251	621	1844
252	623	1840
253	625	1836
254	627	1832
255	630	1831
256	632	1829
257	634	1825
258	636	1822
259	638	1818
260	640	1814
261	643	1811
262	645	1809
263	648	1807
264	650	1803
265	652	1800
266	654	1796
267	656	1793
268	658	1790
269	661	1789
270	664	1786
271	666	1783
272	668	1779
273	670	1776
274	672	1773
275	674	1770
276	677	1769
277	680	1766
278	682	1763
279	684	1759
280	686	1756
281	688	1753
282	691	1751
283	694	1749
284	696	1746
285	698	1743
286	700	1740
287	702	1737
288	704	1733
289	707	1731
290	709	1729
291	712	1726
292	714	1723
293	716	1720
294	718	1717
295	720	1714
296	723	1712
297	725	1709
298	727	1706
299	729	1702
300	731	1699
301	733	1695
302	735	1692
303	738	1691
304	740	1688
305	743	1685
306	745	1683
307	747	1680
308	750	1677
309	752	1674
310	755	1673
311	757	1670
312	760	1668
313	762	1666
314	765	1663
315	767	1661
316	770	1661
317	773	1658
318	775	1655
319	777	1652
320	779	1649
321	782	1647
322	784	1644
323	786	1641
324	788	1638
325	790	1634
326	792	1631
327	794	1627
328	796	1625
329	799	1623
330	801	1620
331	803	1617
332	805	1614
333	807	1610
334	809	1607
335	812	1604
336	814	1601
337	816	1598
338	818	1595
339	820	1592
340	822	1588
341	824	1585
342	826	1582
343	828	1579
344	830	1576
345	832	1573
346	834	1570
347	836	1567
348	838	1564
349	841	1562
350	843	1560
351	845	1557
352	847	1554
353	849	1550
354	851	1547
355	853	1544
356	856	1542
357	858	1539
358	860	1535
359	862	1532
360	864	1529
361	866	1526
362	868	1523
363	870	1521
364	872	1518
365	874	1515
366	876	1512
367	878	1509
368	880	1506
369	883	1503
370	885	1501
371	887	1497
372	889	1494
373	891	1491
374	893	1488
375	895	1486
376	898	1484
377	900	1482
378	903	1479
379	905	1477
380	907	1474
381	909	1471
382	912	1469
383	914	1466
384	916	1464
385	919	1462
386	921	1459
387	923	1456
388	925	1453
389	927	1450
390	929	1447
391	932	1446
392	934	1443
393	936	1440
394	938	1437
395	940	1433
396	942	1431
397	944	1428
398	946	1425
399	948	1422
400	950	1420
401	952	1417
402	954	1414
403	956	1410
404	958	1408
405	960	1405
406	962	1402
407	964	1399
408	966	1397
409	968	1393
410	970	1391
411	972	1388
412	974	1385
413	976	1382
414	978	1379
415	980	1376
416	982	1374
417	984	1371
418	986	1368
419	988	1365
420	990	1362
421	992	1360
422	994	1357
423	996	1354
424	998	1351
425	1000	1348
426	1003	1346
427	1005	1343
428	1007	1340
429	1009	1338
430	1011	1335
431	1014	1333
432	1016	1330
433	1018	1328
434	1020	1325
435	1022	1322
436	1024	1320
437	1026	1317
438	1028	1314
439	1030	1311
440	1032	1308
441	1034	1306
442	1036	1303
443	1038	1301
444	1040	1298
445	1042	1295
446	1044	1292
447	1046	1289
448	1048	1287
449	1050	1284
450	1053	1281
451	1055	1279
452	1057	1276
453	1059	1273
454	1060	1270
455	1062	1268
456	1065	1265
457	1067	1262
458	1069	1260
459	1071	1257
460	1072	1254
461	1074	1251
462	1077	1249
463	1079	1246
464	1080	1243
465	1082	1240
466	1084	1238
467	1087	1235
468	1089	1233
469	1091	1230
470	1093	1227
471	1095	1225
472	1097	1222
473	1099	1219
474	1101	1216
475	1102	1214
476	1104	1211
477	1106	1208
478	1108	1205
479	1110	1203
480	1112	1200
481	1114	1197
482	1116	1194
483	1119	1193
484	1121	1190
485	1124	1188
486	1126	1186
487	1128	1184
488	1131	1182
489	1133	1180
490	1136	1177
491	1138	1175
492	1140	1173
493	1142	1170
494	1144	1168
495	1147	1165
496	1150	1164
497	1153	1162
498	1155	1160
499	1158	1158
500	1161	1156
501	1163	1154
